OBJECTID,WARDNAME,WardCode,SHAPE_Length,SHAPE_Area
373,BALLYWALTER,N08001106,39324.9683287875,53901091.4753319
374,BLOOMFIELD,N08001107,6296.70072385807,1506459.76359094
375,BROADWAY,N08001108,5217.28360274229,1508017.10527728
376,BRYANSBURN,N08001109,5467.28972783143,1273482.75936577
377,CARROWDORE,N08001110,41985.1499107107,52174303.9454951
378,CASTLE,N08001111,5487.33352384508,1652381.36546505
379,CLANDEBOYE,N08001112,19534.3701214019,15029820.5509579
380,COMBER NORTH,N08001113,12842.679523932,5817613.44730544
381,COMBER SOUTH,N08001114,34850.5795314184,35099615.8250171
382,COMBER WEST,N08001115,14846.0288236362,8880229.2560912
383,CONWAY SQUARE,N08001116,9872.73422739524,3223364.10611054
384,CRONSTOWN,N08001117,5770.29758284401,1157092.16136508
385,CULTRA,N08001118,23369.3703614425,17247922.0493721
386,DONAGHADEE,N08001119,9107.56165933247,1570515.73739066
387,GLEN,N08001120,13880.1729282894,6256339.14759878
388,GREGSTOWN,N08001121,5534.99038228439,1188411.22320439
389,GROOMSPORT,N08001122,19210.180548977,6744295.09355296
390,HARBOUR,N08001123,10483.734194435,1235678.33442729
391,HELEN'S BAY,N08001124,18106.5187384614,8246070.32778858
392,HOLYWOOD,N08001125,12225.1593477689,4912240.39615781
393,KILCOOLEY,N08001126,5039.41404671234,1141491.4273352
394,KILLINCHY,N08001127,47129.2751591721,76610593.8919689
395,KIRCUBBIN,N08001128,40499.5329682571,62805585.7068368
396,LOUGHRIES,N08001129,40333.4960692818,41090578.8589934
397,LOUGHVIEW,N08001130,12013.3435036623,4822105.87303762
398,MOVILLA,N08001131,7146.68699586921,1209892.69353927
399,PORTAFERRY,N08001132,47030.2968215563,42413515.1885473
400,PORTAVOGIE,N08001133,25916.2245380407,18372006.6178627
401,RATHGAEL,N08001134,5214.66909165261,1158195.6429642
402,RATHMORE,N08001135,4938.24337767424,1280571.61171255
403,SCRABO,N08001136,26291.4492464836,20878471.1277153
404,SILVERBIRCH,N08001137,4623.15134787701,825224.364723145
405,SILVERSTREAM,N08001138,4634.31030484846,746411.888004218
406,WARREN,N08001139,49517.2905402007,19354300.6850157
407,WEST WINDS,N08001140,15058.8218399,6439252.58106586
408,BALLYMACASH,N08000703,4638.64588557136,913999.649528674
409,WHITE MOUNTAIN,N08000740,19275.6790178146,13508482.4551365
